"Education","PaymentTier"
"Bachelors",3
"Bachelors",3
"Masters",3
"Masters",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Masters",2
"Masters",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",2
"Bachelors",2
"Bachelors",3
"Masters",2
"Bachelors",2
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",2
"Masters",2
"PHD",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",2
"Bachelors",3
"Bachelors",2
"Bachelors",2
"Bachelors",3
"Bachelors",3
"Masters",2
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"PHD",3
"Masters",3
"Masters",2
"Bachelors",3
"PHD",3
"Bachelors",2
"Bachelors",3
"Bachelors",3
"Bachelors",3
"PHD",3
"Bachelors",3
"Masters",3
"Bachelors",3
"Masters",2
"Masters",3
"Bachelors",3
"PHD",2
"Bachelors",3
"Bachelors",3
"PHD",3
"Bachelors",3
"Bachelors",3
"Masters",3
"Bachelors",3
"Masters",3
"Bachelors",3
"Masters",2
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",2
"Bachelors",2
"Masters",2
"Bachelors",3
"Masters",3
"Bachelors",3
"Bachelors",3
"Bachelors",2
"Masters",3
"Bachelors",3
"PHD",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Bachelors",3
"Masters",3
"Bachelors",3
"Masters",3
"Bachelors",2
"Bachelors",3
"Masters",3
"Bachelors",3
